"PMN01","PMN011","PMN02","PMN03","PMN04","PMN041","PMN05","PMN06","PMN07","PMN08","PMN09","PMN10","PMN11","PMN121","PMN122","PMN123","PMN13","PMN14","PMN15","PMN16","PMN18","PMN20","PMN23","PMN24","PMN25","PMN30","PMN31","PMN31T","PMN32","PMN33","PMN34","PMN35","PMN36","PMN37","PMN38","PMN40","PMN41","PMN42","PMN43","PMN431","PMN44","PMN45","PMN46","PMN50","PMN51","PMN52","PMN53","PMN54","PMN55","PMN56","PMN57","PMN58","PMN59","PMN60","PMN61","PMN62","PMN63","PMN64","PMN65","PMN66","PMN67","PMN68","PMN69","PMN70","PMN71","PMN80","PMN81","PMN82","PMN83","PMN84","PMN85","PMN86","PMN87","PMN88","PMN88T","PMN930","PMN401","PMN90","PMN94","PMN95","PMN96","PMN97","PMN98","PMN91","PMNUD01","PMNUD02","PMNUD03","PMNUD04","PMNUD05","PMNUD06","PMNUD07","PMNUD08","PMNUD09","PMNUD10","PMNUD11","PMNUD12","PMNUD13","PMNUD14","PMNUD15","PMN89","PMN72","PMN73","PMN74","PMN75","PMN76","PMN77","PMNPLANT","PMNLEGAL","PMN012","PMN919","PMN99","PMN78","PMN100","PMM01","PMM02","PMM03","PMM04","PMM05","PMM06","PMM07","PMM08","PMM09","PMM10","PMM11","PMM12","PMM13","PMM14","PMM15","PMM16","PMM17","PMM18","PMM20","PMM21","PMM22","PMM25","PMM26","PMM27","PMM28","PMM29","PMM30","PMM31","PMM32","PMM40","PMM401","PMM41","PMM42","PMM43","PMM44","PMM45","PMM46","PMM47","PMM48","PMM49","PMM50","PMM99","PMM901","PMM902","PMM903","PMM904","PMM905","PMM906","PMM907","PMM908","PMM909","PMM911","PMM912","PMM913","PMM914","PMM915","PMM916","PMMPRSW","PMMPRNO","PMMPRDT","PMMMKSG","PMMSIGN","PMMDAYS","PMMPRIT","PMMSSEQ","PMMSMAX","PMMACTI","PMMUSER","PMMGRUP","PMMMODU","PMMDATE","PMM40T","PMMUD01","PMMUD02","PMMUD03","PMMUD04","PMMUD05","PMMUD06","PMMUD07","PMMUD08","PMMUD09","PMMUD10","PMMUD11","PMMUD12","PMMUD13","PMMUD14","PMMUD15","PMM51","PMM52","PMM53","PMMCOND","PMMCONT","PMMCONU","PMMCRAT","PMMPOS","PMMPLANT","PMMLEGAL","PMMORIU","PMMORIG"
"PN02-17110031","REG","3","","8008-0593","DCP-R面板","","","PCS","PCS","1.00000000","","N","","PC0060","","10.0000","Y","Y","8","","6.000","","PQ01-17110039","2","","244.641000","286.230000","","17/12/28","17/12/28","17/12/28","17/11/20","","Y","1403","","0","","","244.641000","","","12.000","0.000"," ","2.000"," ","10.000"," ","-4.000","0.000","","","8008-0593","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","6.000","1467.850000","1717.380000","","","0.000000","","","0060-01"," ","2120","","","","","","","","248.000000","290.160000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","","同上","PN02-17110031","REG","0","17/11/14","","","","","V000234","001","001","8201379","D0003","D0013","8808227","","","Y","C002","J017","RMB","6","","18/04/23","","","","2017","11","2935.700000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201379","D0003","8809716","18/07/02","3434.760000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/11/20","14:58:52","tiptop","17/11/14","N","SHXK_STE","SHXK_STE","8201379","D0003"
"PN02-17110031","REG","2","","8008-0592","DCP-L面板","","","PCS","PCS","1.00000000","","N","","PC0060","","10.0000","Y","Y","8","","6.000","","PQ01-17110039","1","","244.641000","286.230000","","17/12/28","17/12/28","17/12/28","17/11/20","","Y","1403","","0","","","244.641000","","","12.000","0.000"," ","4.000"," ","8.000"," ","-2.000","0.000","","","8008-0592","1.0000","N","N","1","","D0013","","","","","","","","","","","PCS","6.000","1467.850000","1717.380000","","","0.000000","","","0060-01"," ","2120","","","","","","","","248.000000","290.160000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","","","","芝加歌 增购6块生产使用，由原供应商提供","PN02-17110031","REG","0","17/11/14","","","","","V000234","001","001","8201379","D0003","D0013","8808227","","","Y","C002","J017","RMB","6","","18/04/23","","","","2017","11","2935.700000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201379","D0003","8809716","18/07/02","3434.760000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/11/20","14:58:52","tiptop","17/11/14","N","SHXK_STE","SHXK_STE","8201379","D0003"
"PN01-17090093","REG","1","","8009-0220","木箱","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","10.0000","Y","Y","8","","73.000","","","","0.000000","427.350400","500.000000","","18/09/28","18/09/28","18/09/28","17/11/17","","Y","50010303","","0","","","427.350400","","","27.000","0.000","K001","27.000"," ","0.000"," ","-46.000","0.000","","","8009-0220","1.0000","N","N","1","","","","","","","","","","","","","PCS","73.000","31196.580000","36500.000000","","","0.000000","","","9949-01"," ","3103","","","","PN02-16020044","","","","428.000000","500.760000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090093","REG","0","17/09/30","","","","","V000410","","","9103377","D0010","D0010","tiptop","","","Y","C002","J017","RMB","6","","18/04/24","","","","2017","9","31196.580000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","tiptop","D0006","8809716","18/07/02","36500.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/11/17","16:01:13","tiptop","17/11/17","N","SHXK_STE","SHXK_STE","tiptop","D0006"
"PN01-17090082","REG","5","","9980-8000-0399","Rearview Camera (RVC)","","","PCS","PCS","1.00000000","","N","1.00000000","PC0060","","10.0000","Y","Y","8","","5.000","","","","0.000000","2973.000000","3478.410000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","2973.000000","","","3.000","0.000","K004","3.000"," ","0.000"," ","-2.000","0.000","","","9980-8000-0399","1.0000","N","N","1","","","","","","","","","","","","","PCS","5.000","14865.000000","17392.050000","","","0.000000","","","0060-01"," ","2125","","","","PN02-17090009","","","","17500.000000","4095.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090082","REG","0","17/09/30","","","","","V000440","","","8201344","D0003","D0013","8201344","","","Y","C004","J017","RMB","6","","18/04/24","","","","2017","9","40645.000000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","47554.650000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/10/09","16:10:37","8201344","17/10/09","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN02-17100007","REG","1","","8008-0562","PECU面板","","","PCS","PCS","1.00000000","","N","1.00000000","PC0062","","10.0000","Y","Y","8","","20.000"," ","PQ01-17100030","1","0.000000","168.290600","196.900000","0","17/11/03","17/11/03","17/11/03","17/10/26","","Y","500102","","0","","","168.290600","","0","11.000","0.000","K001","11.000"," ","0.000"," ","-9.000","0.000"," ","0","8008-0562","1.0000","N","N","1","","D0013","","0","","","","","","","","","PCS","20.000","3365.810000","3938.000000","","","0.000000","","0","9981-01"," ","2106","","","","","","","","168.291000","196.900000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ","WHL11 增加20个数量做备用，原由供应商供货","PN02-17100007","REG","0","17/10/23","PC0062","","","","V000234","001","001","8201379","D0003","D0013","8808227","","","Y","C002","J017","RMB","6","","18/04/23","","","","2017","10","3365.810000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201379","D0003","8809716","18/07/02","3938.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/10/26","13:54:12","tiptop","17/10/23","N","SHXK_STE","SHXK_STE","8201379","D0003"
"PN02-17110051","REG","1","","8011-0108","高清扁平线HDMI","","","PCS","PCS","1.00000000","","N","1.00000000","PC2027","","10.0000","Y","Y","8","","50.000"," ","PQ01-17110060","1","0.000000","11.111100","13.000000","0","17/11/30","17/11/30","17/11/30","17/12/05","","Y","500102","","0","","","11.111100","","0","26.000","0.000","K001","26.000"," ","0.000"," ","-24.000","0.000"," ","0","8011-0108","1.0000","N","N","1","","D0009","","0","","","","","","","","","PCS","50.000","555.560000","650.000000","","","0.000000","","0","2027-01"," ","2101","","","","","","","","11.500000","13.460000","","","0","0","99/12/31","99/12/31","99/12/31","","","4","","","0","","SHXK_STE","SHXK_STE"," ","",""," ","","PN02-17110051","REG","0","17/11/22","PC2027","","","","V000318","","","8201458","D0003","D0009","8808227","","","Y","C002","J017","RMB","6","","18/04/23","","","","2017","11","555.560000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","Y"," ","0","","0","0","Y","8201458","D0003","8809716","18/07/02","650.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/11/27","15:18:23","tiptop","17/11/22","N","SHXK_STE","SHXK_STE","8201458","D0003"
"PN01-17090071","REG","1","","9978-8000-1510","GZL3E SALOON CameraEncoder Card","","","PCS","PCS","1.00000000","","N","1.00000000","PC2027","","10.0000","Y","Y","8","","16.000","","","","0.000000","1500.000000","1755.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","1500.000000","","","16.000","0.000","K001","14.000"," ","2.000"," ","-2.000","0.000","","","9978-8000-1510","1.0000","N","N","1","","","","","","","","","","","","","PCS","16.000","24000.000000","28080.000000","","","0.000000","","","2027-01"," ","2102","","","","PN02-17030047","","","","1755.000000","1756.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090071","REG","0","17/09/30","PC2027","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C099","J017","RMB","6","","18/04/24","","","","2017","9","102000.000000","0.000000","P01","1.0000000000","17.0000","1","Y","0","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","119340.000000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","14:22:29","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090072","REG","26","","9974-8000-1601","38""LCD Receiver PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0058","","10.0000","Y","Y","8","","254.000","","","","0.000000","1000.000000","1170.000000","","17/10/31","17/10/31","17/10/31","17/10/17","","Y","500102","","0","","","1000.000000","","","90.000","0.000","K001","90.000"," ","0.000"," ","-164.000","0.000","","","9974-8000-1601","1.0000","N","N","1","","","","","","","","","","","","","PCS","254.000","254000.000000","297180.000000","","","0.000000","","","0058-01"," ","2109","","","","PN02-17020044","","","","1170.000000","1171.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090072","REG","0","17/09/30","PC0058","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C100","J017","RMB","2","","18/04/24","","","","2017","9","31976358.000000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8201344","17/10/17","37412338.860000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/10/17","15:07:17","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090073","REG","16","","9966-8000-0462","触摸屏","","","PCS","PCS","1.00000000","","N","1.00000000","PC0041","","20.0000","Y","Y","8","","6.000","","","","0.000000","4300.000000","5031.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","4300.000000","","","7.000","0.000","K001","5.000"," ","2.000"," ","-1.000","0.000","","","9966-8000-0462","1.0000","N","N","1","","","","","","","","","","","","","PCS","6.000","25800.000000","30186.000000","","","0.000000","","","9966-01"," ","2114","","","","PN02-16080074","","","","5031.000000","5032.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090073","REG","0","17/09/30","","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C099","J017","RMB","2","","18/04/24","","","","2017","9","198130.000000","0.000000","P01","1.0000000000","17.0000","1","Y","0","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","231812.100000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:03:01","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090073","REG","37","","9963-8000-1205","ACSU Controller B PCBA  (5)","","","PCS","PCS","1.00000000","","N","1.00000000","PC2061","","20.0000","Y","Y","8","","3.000","","","","0.000000","6500.000000","7605.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","6500.000000","","","2.000","0.000","K001","2.000"," ","0.000"," ","-1.000","0.000","","","9963-8000-1205","1.0000","N","N","1","","","","","","","","","","","","","PCS","3.000","19500.000000","22815.000000","","","0.000000","","","2061-01"," ","2101","","","","PN02-17080014","","","","7605.000000","7606.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090073","REG","0","17/09/30","","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C099","J017","RMB","2","","18/04/24","","","","2017","9","198130.000000","0.000000","P01","1.0000000000","17.0000","1","Y","0","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","231812.100000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:03:01","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090073","REG","36","","9963-8000-1205-1","MVB_card","","","PCS","PCS","1.00000000","","N","1.00000000","PC2061","","20.0000","Y","Y","8","","3.000","","","","0.000000","3000.000000","3510.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","3000.000000","","","2.000","0.000","K001","2.000"," ","0.000"," ","-1.000","0.000","","","9963-8000-1205-1","1.0000","N","N","1","","","","","","","","","","","","","PCS","3.000","9000.000000","10530.000000","","","0.000000","","","2061-01"," ","2101","","","","PN02-17080014","","","","3510.000000","3511.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090073","REG","0","17/09/30","","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C099","J017","RMB","2","","18/04/24","","","","2017","9","198130.000000","0.000000","P01","1.0000000000","17.0000","1","Y","0","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","231812.100000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:03:01","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","21","","9949-8000-1220","DVR Power Supply Unit Card","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","43.000","","","","0.000000","1568.376068","1835.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","1568.376068","","","42.000","0.000","K001","42.000"," ","0.000"," ","-1.000","0.000","","","9949-8000-1220","1.0000","N","N","1","","","","","","","","","","","","","PCS","43.000","67440.170000","78905.000000","","","0.000000","","","9949-01"," ","2115","","","","PN02-16120082","","","","1835.000000","1836.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","18","","9949-8000-1504","DVR Controller PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","15.000","","","","0.000000","8468.376068","9908.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","8468.376068","","","14.000","0.000","K001","14.000"," ","0.000"," ","-1.000","0.000","","","9949-8000-1504","1.0000","N","N","1","","","","","","","","","","","","","PCS","15.000","127025.640000","148620.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120082","","","","9908.000000","9909.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","16","","9949-8000-1505","CPCIE to SATA Extend","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","34.000","","","","0.000000","400.000000","468.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","400.000000","","","32.000","0.000","K001","32.000"," ","0.000"," ","-2.000","0.000","","","9949-8000-1505","1.0000","N","N","1","","","","","","","","","","","","","PCS","34.000","13600.000000","15912.000000","","","0.000000","","","9949-01"," ","2114","","","","PN02-16120082","","","","468.000000","469.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","14","","9949-8000-4201","AVSS Backplane PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","10.000","","","","0.000000","268.376068","314.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","268.376068","","","8.000","0.000","K001","8.000"," ","0.000"," ","-2.000","0.000","","","9949-8000-4201","1.0000","N","N","1","","","","","","","","","","","","","PCS","10.000","2683.760000","3140.000000","","","0.000000","","","9949-01"," ","2115","","","","PN01-15120008","","","","314.000000","315.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","12","","9949-8000-5201","CCH MMI Interface PCBA","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","15.000","","","","0.000000","3568.376068","4175.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","3568.376068","","","4.000","0.000","K001","2.000"," ","2.000"," ","-13.000","0.000","","","9949-8000-5201","1.0000","N","N","1","","","","","","","","","","","","","PCS","15.000","53525.640000","62625.000000","","","0.000000","","","9949-01"," ","2103","","","","PN02-16120082","","","","4175.000000","4176.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
"PN01-17090076","REG","6","","9949-8000-7201","IID Video Receiver","","","PCS","PCS","1.00000000","","N","1.00000000","PC0025","","20.0000","Y","Y","8","","260.000","","","","0.000000","2068.376068","2420.000000","","17/10/31","17/10/31","17/10/31","17/10/09","","Y","500102","","0","","","2068.376068","","","253.000","0.000","K001","253.000"," ","0.000"," ","-7.000","0.000","","","9949-8000-7201","1.0000","N","N","1","","","","","","","","","","","","","PCS","260.000","537777.780000","629200.000000","","","0.000000","","","9949-01"," ","2111","","","","PN02-16120088","","","","2420.000000","2421.000000","","","","","","","","N","","4","","","","","SHXK_STE","SHXK_STE"," ","",""," ","","PN01-17090076","REG","0","17/09/30","PC0025","","","","V000082","001","001","8201344","D0003","D0013","8201344","","","Y","C131","J017","RMB","2","","18/04/24","","","","2017","9","2637203.870000","0.000000","P01","1.0000000000","17.0000","1","Y","","0.000000","0.000000","","","","N"," ","","","N"," ","","","1","","","","","","","Y","0","","N"," ","0","","0","0","Y","8201344","D0003","8809716","18/07/02","3085528.500000","","","","","","","","","","","","","","","","1","SHXK_STE","","17/09/30","17:01:54","8201344","17/09/30","N","SHXK_STE","SHXK_STE","8201344","D0003"
